Job Title,Job Descriptions
Health Operation Associate,"Health Operation Associate role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
IT Police Non-Commissioned Officer (ITPNCO),"IT Police Non-Commissioned Officer (ITPNCO) role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Information Systems Analyst I,"Information Systems Analyst I role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Information Technology (IT) Personnel,"Provide technical support for hardware, software, and network issues. Install, configure, and maintain computer systems and applications. Monitor system performance and troubleshoot issues. Manage user accounts and access permissions. Assist in system updates, backups, and maintenance.. Provide technical support for hardware, software, and network-related issues. Install, configure, and maintain computer systems, operating systems, and applications. Monitor and maintain network infrastructure, including LAN/WAN and internet connectivity. Troubleshoot system errors, performance issues, and user concerns. Manage user accounts, access controls, and system permissions. Perform system updates, patches, and regular maintenance. Assist in managing servers, databases, and backup systems. Ensure data security, privacy, and protection measures are implemented. Maintain IT documentation, asset inventory, and system logs. Support IT projects, system upgrades, and technology deployments. Coordinate with vendors and service providers for IT-related services."
Information Technology (IT) Specialist,"Administer servers, networks, and enterprise systems. Implement system upgrades, configurations, and optimizations. Monitor security, performance, and system availability. Troubleshoot complex technical issues. Support IT projects and infrastructure improvements. Ensure compliance with IT policies and security standards.. The IT Specialist will be responsible for managing internet infrastructure across multiple locations, and addressing all IT needs of the company, troubleshooting software and hardware issues, procuring IT equipment, and managing our chat and email system (Microsoft Business).
Manage and optimize internet connectivity and network performance across multiple locations, including troubleshooting and coordinating with service providers.
Administer and manage backend and front-end aspects of our Microsoft 365 subscription.
Configure and maintain user accounts, licenses, and security settings.
Provide support and training to employees on Microsoft 365 tools and features.
Provide comprehensive IT support, manage asset inventory, and enforce IT policies and best practices, including SAP B1 integration when necessary.
Troubleshoot and resolve software, hardware, and POS issues.
Provide technical support through various channels and maintain detailed records in the IT helpdesk system.
Procure, deliver, install, and set up IT devices while managing vendor relationships and negotiating contracts."
Information Technology (IT) Support,"Provide first-line or second-line technical support. Troubleshoot hardware, software, and connectivity issues. Handle support tickets and document resolutions. Assist with system setup and user onboarding. Escalate complex issues when necessary. Maintain knowledge base and documentation.. The Service Desk Agent L1 is the first point of contact for customers and employees seeking technical assistance.
This role involves providing support for IT-related issues, troubleshooting problems, and ensuring that all service requests are resolved efficiently and effectively.
The Service Desk Agent will work closely with other IT teams to escalate complex issues and ensure a high level of customer satisfaction.
Fluently communicate, read, and write in English to the standard of a native English speaker.
Excellent communication and conversation skills (verbal and written).
Excellent documentation skills.
Great customer handling skill.
Able to handle unforeseen situations.
High level of acceptance.
Can drive Supplier’s value and its methodology.
"
Information Technology Services,"Information Technology Services role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Instructor I,"Teach programming, databases, networking, or software development subjects. Conduct lectures, labs, and hands-on coding activities. Evaluate student performance through exams and projects. Guide students in system development and technical assignments. Prepare course materials and update curriculum content.. Deliver lectures and laboratory sessions in CS/IT subjects (e.g., programming, databases, networking, software engineering). Develop lesson plans, instructional materials, and course content aligned with curriculum standards. Guide students in hands-on activities, coding exercises, and system development projects. Evaluate student performance through exams, projects, and practical assessments. Provide academic advising and mentorship to students. Integrate current technologies, tools, and industry practices into teaching. Participate in curriculum development and continuous improvement initiatives. Conduct basic research or contribute to academic publications (if required). Maintain accurate records of student performance and academic documentation. Collaborate with faculty members and academic staff on departmental activities."
Inventory Staff,"Inventory Staff role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Junior Information Technology (IT) Systems Analyst,"Assist in gathering and documenting system requirements. Analyze workflows and propose system improvements. Support system testing, validation, and deployment. Work with developers to translate requirements into solutions. Prepare reports, documentation, and process diagrams. Provide support for system-related issues.. Elicit, analyze, and document business and functional requirements. Convert operational knowledge into structured requirements, user stories, and acceptance criteria. Document as-is and to-be business processes. Participate in stakeholder discussions, requirement walkthroughs, and validations. Support UAT preparation, execution, defect logging, and retesting. Maintain clear and organized documentation using standard BA templates and tools. Work with multiple stakeholders and manage priorities."
Junior Integration Developer,"Develop and maintain API integrations between systems. Assist in building data pipelines and system connectors. Troubleshoot integration issues and data flow errors. Work with REST/SOAP APIs and middleware platforms. Collaborate with developers and system analysts. Document integration processes and configurations.. As an Integration Developer, you will be primarily responsible for the development and ongoing support of our integration platform (Boomi) to ensure seamless data flow across critical systems from eCommerce to our Warehouse Management System.
Additionally, you will provide support for our Shopify platform, collaborating closely with teams to drive operational efficiency and handle technical issues.
This role offers tremendous growth opportunities for someone who thrives in a dynamic environment and is enthusiastic about expanding their technical skills.
Develop, maintain, and enhance integrations using the Boomi Platform.
Design scalable solutions to integrate various systems (ERP, WMS, eCommerce, CRM, data warehouses, and other third-party providers).
Monitor and troubleshoot integration processes to ensure data accuracy and reliability.
Collaborate with business and technical stakeholders to gather integration requirements and implement them effectively.
Optimize and streamline existing integrations for performance improvements.
Document integration workflows, designs, and configurations for cross-team understanding and future support.
Provide technical support for the Shopify platform, assisting in ongoing development and customization.
Collaborate with cross-functional teams to enhance functionality, user experience, and performance of the Shopify store.
Troubleshoot issues related to themes, apps, and third-party integrations with Shopify.
Assist in implementing Shopify features and capabilities as needed.
Participate in the design and deployment of custom Shopify apps or themes when required.. As an EDI / Integration Developer, you will be primarily responsible for designing, developing, and maintaining electronic data exchange solutions that ensure seamless communication between business systems.
You will work extensively with BizTalk, C#, SQL, and XML/JSON to analyze, build, and optimize integration processes, ensuring high-quality and reliable system performance.
In this role, you will develop and adapt solutions based on current requirements and standards, analyze and implement EDI solutions, and participate in or lead process optimization and performance improvement initiatives.
You will also contribute to the design and execution of solution release plans, troubleshoot and resolve system issues to maintain business continuity, and actively collaborate within an Agile development team environment.
Additionally, you will leverage your experience with .NET technologies, SQL, and various ERP systems (preferably Infor ERP / ION), while applying your knowledge of Agile methodologies such as Scrum or Kanban.
Strong teamwork, communication skills, and familiarity with JSON, XML, and optionally Java will support your success in delivering efficient and scalable integration solutions.. We are seeking an experienced Integration Senior Engineer to design, develop, and onboard of API endpoints on our enterprise API gateway. This role ensures seamless integration between DFI’s internal and external systems, while maintaining high performance and reliability of our API management platform.
You will collaborate across teams to align integration solutions with business requirements, IT strategy, and security guidelines. Beyond technical delivery, you’ll play a key role in improving processes, guiding best practices, and driving innovation in enterprise integration.
Design, develop, and onboard API endpoints on the enterprise API gateway to ensure seamless integration between internal and external systems.
Maintain high performance, reliability, and security of the API management platform.
Collaborate with teams to align integration solutions with business requirements, IT strategy, and security guidelines.
Integrate 3rd party services through APIs using standard integration methodologies.
Define and enforce API strategies, protocols, and frameworks for secure, maintainable, and scalable APIs.
Build and maintain API specifications, documentation, and user guides.
Perform integration testing, troubleshoot issues, and provide root cause analysis.
Monitor system performance and generate reports to preemptively address recurring issues.
Translate requirements into API design using RAML or OpenAPI standards.
Apply Agile methodologies, participate in coding, code reviews, deployment, and support operations.
5+ years designing and implementing RESTful or Graph APIs using JSON or XML.
3+ years experience with API management platforms or integration tools.
Programming and scripting expertise in Unix, JavaScript, and Python.
Knowledge of IT security principles, databases, and enterprise workflows.
Familiarity with Agile SDLC and Scrum methodologies.
Cloud certifications (Azure, AWS, GCP) are an advantage.
Bachelor’s degree in IT or related field, or equivalent professional experience.
Strong analytical, documentation, and problem-solving skills.
Excellent verbal and written communication; able to bridge technical and non-technical teams.
Able to work independently and collaboratively in fast-paced environments."
Level 1 Support (L1 Support),"Provide first-level support for hardware, software, and network-related issues. Respond to user inquiries via ticketing systems, email, chat, or phone. Diagnose and troubleshoot common issues (e.g., login problems, connectivity, application errors). Log, track, and update incidents and service requests in ticketing systems. Escalate complex or unresolved issues to Level 2 or specialized IT teams. Assist in system setup, user account creation, and access management. Perform basic system checks, updates, and maintenance tasks. Maintain documentation of issues, solutions, and troubleshooting procedures. Ensure compliance with service-level agreements (SLAs). Provide guidance to users on system usage and best practices.. The Service Desk Agent L1 is the first point of contact for customers and employees seeking technical assistance. This role involves providing support for IT-related issues, troubleshooting problems, and ensuring that all service requests are resolved efficiently and effectively. The Service Desk Agent will work closely with other IT teams to escalate complex issues and ensure a high level of customer satisfaction, Fluently communicate, read, and write in English to the standard of a native English Speaker, Excellent communication and conversation skills (verbal and written), Excellent documentation skills, Great customer handling skill, Able to handle unforeseen situations, High level of acceptance, Can drive Supplier’s value and its methodology."
Machine Operator / Sales,"Machine Operator / Sales role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Management Trainee - Sales and Marketing,"Management Trainee - Sales and Marketing role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Manager,"Manager role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Map Data Processor,"Process, update, and maintain geospatial data in mapping or GIS platforms. Validate map data for accuracy, completeness, and consistency. Perform data entry, data cleaning, and data formatting tasks. Analyze spatial data and identify discrepancies or errors in datasets. Use tools such as GIS software, internal mapping systems, or Excel for data processing. Maintain and update databases containing geographic information. Generate reports or summaries based on processed data. Collaborate with data analysts, developers, or GIS teams for data improvements. Follow data standards, guidelines, and quality assurance processes. Document workflows and data processing procedures.. Process and update geospatial data using GIS and mapping software. Validate and verify map data accuracy, completeness, and consistency. Perform data cleansing, transformation, and formatting for system integration. Analyze spatial data and identify discrepancies or errors in mapping datasets. Maintain and manage large datasets within database systems. Ensure compliance with data standards, formats, and quality assurance guidelines. Collaborate with developers, analysts, and GIS specialists for data improvement. Generate reports and insights based on processed geospatial data. Support system updates, data migration, and mapping platform enhancements. Document workflows, data processes, and technical procedures."
Medical Billing and Denial Associate,"Medical Billing and Denial Associate role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Multimedia Designer,"Multimedia Designer role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
OIC Chief for Digital,"OIC Chief for Digital role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Officer-in-Charge (OIC) – Program Associate,"Coordinate and monitor IT-related program activities, tasks, and timelines. Oversee daily operations of system-based projects and digital workflows. Act as point of contact for program updates, issues, and coordination across teams. Track project progress using spreadsheets, dashboards, or project management tools. Prepare reports, status updates, and documentation for stakeholders. Ensure data accuracy and proper documentation within program systems. Assist in managing databases or information systems related to program operations. Identify operational issues and recommend process or system improvements. Support implementation of digital tools or system enhancements. Supervise and guide team members or interns when assigned as OIC.. Assist in planning, implementation, and monitoring of program activities and projects. Oversee daily operations and ensure smooth execution of assigned tasks. Act as the point of contact and decision-maker in the absence of the Program Manager. Coordinate with internal teams, stakeholders, and external partners. Prepare reports, documentation, and program updates. Ensure compliance with organizational policies, procedures, and timelines. Provide administrative and logistical support for program activities. Monitor program progress and recommend improvements for efficiency. Handle inquiries and resolve operational issues as needed"
Online Marketing Communications Specialist,"Online Marketing Communications Specialist role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Programmer,"Programmer role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Project Technical Specialist I,"Project Technical Specialist I role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Quality Assurance Internal Auditor,"Conduct internal audits of IT systems, applications, and operational processes. Review system controls, user access, and data handling procedures. Identify process gaps, risks, and non-compliance with internal policies or standards. Analyze system workflows and recommend improvements for efficiency and accuracy. Prepare audit reports, findings, and actionable recommendations. Monitor implementation of corrective actions and follow up on audit issues. Ensure compliance with IT policies, data privacy regulations, and quality standards. Work with IT teams to validate system controls and process improvements. Review logs, reports, and system records to verify data integrity. Maintain audit documentation and support continuous improvement initiatives.. Conduct internal audits of IT systems, software applications, and infrastructure. Evaluate IT controls, including access management, data integrity, and system security. Assess compliance with IT governance frameworks, policies, and standards (e.g., ISO 27001, ITIL). Identify system vulnerabilities, process inefficiencies, and non-compliance issues. Review software development lifecycle (SDLC) processes to ensure quality standards are followed. Prepare audit reports with findings, risk assessments, and actionable recommendations. Monitor and follow up on corrective actions and system improvements. Collaborate with IT teams (developers, system admins, QA engineers) to enhance system performance and security. Ensure proper documentation of IT processes, audit trails, and system changes. Support risk management and data protection initiatives. Process article links through Google Docs, Gemini, and other required tools. Follow the client’s workflow when entering and reviewing article links. Run AI-supported checks and capture flagged outputs. Log remarks and flagged outputs accurately in Google Sheets. Keep spreadsheets updated, complete, and well-organized. Process large batches of articles efficiently each day. Maintain consistency and accuracy in repetitive tasks. Escalate unusual cases or workflow issues when needed. Support the upkeep of a dependable article tracking system. Comfortable using Google Docs and Google Sheets. Familiarity with Gemini or confidence using AI tools within a defined workflow. Strong written comprehension and ability to capture information accurately. Good time management and ability to meet output expectations."
Real Time Analyst,"Real Time Analyst role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Registrar / Admin Staff,"Registrar / Admin Staff role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Registrar / Administrative Staff,"Maintain and update records in student information systems or internal databases. Process registrations, enrollments, and document requests using digital platforms. Ensure accuracy and completeness of encoded data and records. Generate reports using Excel or system-generated tools for tracking and compliance. Perform data entry, validation, and cleanup to maintain data integrity. Coordinate with IT or system administrators for system issues or updates. Assist in troubleshooting basic system or user-related concerns. Organize and archive electronic files and documents. Support administrative workflows through system-based processes. Ensure compliance with data privacy and records management policies.. Manage and maintain digital records using database systems and information management software. Ensure accuracy, integrity, and security of stored data. Process registrations, records updates, and document requests using IT systems. Generate reports and analytics from databases for decision-making. Provide technical and administrative support for system users. Assist in maintaining and updating information systems and databases. Ensure compliance with data privacy policies and security standards. Troubleshoot minor system and data-related issues. Coordinate with IT personnel for system improvements and issue resolution. Maintain proper documentation of records, transactions, and system processes. Support automation and digitalization of administrative workflows."
SAP Business Warehouse (SAP BW) Associate / Data Engineer,"Design, develop, and maintain data pipelines (ETL/ELT) for structured and unstructured data. Build and manage data architectures, data warehouses, and data lakes. Integrate data from multiple sources (APIs, databases, cloud platforms). Ensure data quality, consistency, and reliability across systems. Optimize data processing performance and scalability. Collaborate with data analysts and scientists to support analytics and modeling needs. Implement data security, governance, and access control policies. Monitor and troubleshoot data workflows and system issues. Document data processes, pipelines, and system architecture. Support real-time and batch data processing systems.. Responsible for the data model and data flow design of the BI AWS Infrastructure by working closely with a) data engineer peers to ensure that created DWH technical setup adhere to conventions and standards, b) analysts and visualization developers to ensure that back-end models are aligned with the business requirements and ensure that all implemented ETL transformation logic is aligned with company-wide definitions of metrics, dimensions, other data points and c) 2Go and SMIC Tech or IT and other groups for source to target mapping, accurately mapping target business requirements to the correct data sources. Perform regular checks on the BI infrastructure to ensure environment health, data integrity, and availability by working closely with 2Go and SMIC Tech or IT and other dependencies. Create DWH technical documents, including source-target mapping documents, data model and data flow documents, monitoring documents, and test scripts and testing documents. Initiate process, documentation, and technical design improvements on data warehouse delivery, including mentoring of other junior members of the team. Manage assigned deliverables and projects or initiative ensuring achievement of dedicated tasks that should result to satisfying overall project objectives with regular project phases update to team lead and/or to stakeholders.. Design and build data pipelines and ETL processes to extract, transform, and load data from various sources. Implement data models and structures to support data analytics and reporting. Collaborate with cross-functional teams to identify and address data needs and requirements. Develop and maintain data warehouse and data lake solutions. Monitor and troubleshoot data processes to ensure data accuracy and integrity. Optimize data storage and retrieval for efficient data processing. Stay updated on industry trends and best practices in data engineering and apply them to our systems. Train and mentor junior data engineers on data engineering principles and best practices. Strong knowledge of SQL and experience with relational databases (e.g. MySQL, PostgreSQL). Experience with ETL tools and processes (e.g. Informatica, Talend). Proficient in at least one programming language (e.g. Python, Java). Familiarity with cloud data platforms (e.g. AWS, Azure, Google Cloud). Knowledge of data warehousing concepts and data modeling techniques. Experience with data visualization tools (e.g. Tableau, Power BI) is a plus. Strong analytical and problem-solving skills. Excellent communication and collaboration skills. Ability to work independently and manage multiple projects simultaneously. Willingness to learn and adapt to new technologies and tools.. Data Architecture: Design and implement scalable data models, focusing on the transition from raw/bronze data to refined Silver and Gold standard datasets. Semantic Modelling: Design, validate and own Semantic Modelling to ensure models are optimised for End User Reporting. Pipeline Development: Build and optimize ETL/ELT processes to ingest data from a variety of source systems, including ERP and CRM platforms. JSON Transformation: Engineer specific logic to parse, flatten, and transform nested JSON data into structured formats suitable for business reporting. System Migration: Support ongoing data migration projects (such as ""Project Harvest""), assisting in the transition of logic from legacy SQL environments to modern cloud platforms like Microsoft Fabric. Performance Tuning: Optimize SQL queries and Power Query transformations to ensure efficient data processing and refresh rates for Power BI Semantic Models. Data Integrity: Validate and monitor data quality throughout the pipeline to ensure that Gold-layer outputs are accurate and reliable for decision-making. Collaboration: Work closely with the BI team and business stakeholders.. Develop ETL/ELT components and DBT models following standards and peer review. Instrument pipelines with validations and basic observability (logs, metrics, alerts). Write unit/integration tests; package and deploy via CI/CD; contribute to documentation and runbooks. Support BA in mapping source target and implementing acceptance criteria; collaborate with Scrum Master on sprint commitments. Assist in defect triage and timely remediation within sprint.. Data Architecture & Warehouse Management. Infrastructure Design: Develop and standardize scalable data pipelines, create optimized database tables, and validate complex measures to streamline business efficiency. System Stewardship: Provide day-to-day maintenance and system support for the global Marketing Data Warehouse to ensure high performance and data availability. Governance & Security: Oversee warehouse administration and API development while ensuring 100% compliance with corporate IT Data Security standards and protocols. ETL Operations & Project Delivery. End-to-End Execution: Lead the full project lifecycle—including planning, design, execution, testing, and deployment—for critical data management and development projects. Quality Engineering: Implement robust ETL (Extract, Transform, Load) processes and unified data standards to ensure consistent, high-quality technical solutions across the enterprise. Process Optimization: Identify opportunities to automate manual workflows and improve the overall efficiency of data ingestion and processing. Cross-Functional Collaboration. Requirement Translation: Partner with multi-functional business teams to translate complex commercial requirements into scalable technical data solutions. Analytics Partnership: Collaborate closely with Data Science and Analytics teams to define project scopes and provide the clean, modeled data required for advanced modeling. Technical Advocacy: Effectively communicate complex data insights, architectural logic, and technical recommendations to non-technical stakeholders.. Design, build, and maintain scalable, secure data pipelines and storage systems; ensure data quality through ETL processes and regular checks. Implement policies and practices to control, optimize, and secure data assets, ensuring data integrity and accessibility. Develop and maintain data models, structures, and databases to meet business needs; communicate data architecture effectively. Develop, test, and maintain scripts and programs to automate data processing and pipelines, adhering to industry standards. Create and operationalize data visualization solutions to simplify complex data for stakeholders and decision-making. Work with cross-functional teams to gather data requirements, optimize existing processes, and deliver ad hoc reports and insights.. Assembling small to medium complex sets of data that meet non-functional and functional business requirements. Building required data pipelines for optimal extraction, transformation and loading of data from various data sources using GCP and SQL technologies. Building analytical tools to utilize the data pipeline, providing actionable insight into key business performance metrics. Working with stakeholders including data, design, and product teams and assisting them with data-related technical issues. Participates in unit and system testing and follow existing change control processes for promoting solutions to production system, escalating issues as needed. Design, develop, review, test, and deploy using CI/CD to facilitate the data warehouse solutions. Identifies data integrity issues and analyzes data and process flows for process improvement opportunities. Monitoring system performance and evaluate query execution plans for improving overall system performance. Working with Integration Architect, develop, test and deploy the data pipelines. Participate in troubleshooting and maintaining existing solutions as required.. Design, build, and maintain data pipelines; develop, construct, test, and maintain robust data architectures, data warehouse, including databases and large-scale processing systems that power our analytics and business intelligence initiatives. Implement and manage Extract, Transform, and Load (ETL) or Extract, Load, and Transform (ELT) processes for data ingestion from various data sources. Ensure data quality, security, and compliance by implementing best practices in data governance. Continuously monitor and optimize our data pipelines and infrastructure for performance and efficiency. Use BI services to support strategic and self-service models and reports. Practice internal standards for coding, project tracking, and documentation. Partner with data analysts to understand their data needs and provide them with clean, accessible data. Work closely with product owners, data architects, and software engineers to ensure our data infrastructure is reliable and efficient.. Collaborate with the Business to fully understand business requirements. Provide ETL solutions that support Business Information requirements in Informatica. Design and develop ETL processes using Informatica. Analyze source systems to identify appropriate sources of data. Identify and resolve data quality issues. Identify opportunities to value-add to source system data. Estimate effort involved in work tasks. Implement and enhance automation processes. Advanced knowledge of a modern data application. Experience creating data integration solutions. Strong knowledge in Informatica Power Center and related products. Experience in Logical and Physical Data Modelling, including dimensional, relational, and flat-file data structures. Fluent in Kimball or Inmon Datawarehouse modelling techniques. Fluent in SQL. Relational database experience (preferably MS SQL Server). Business Objects including universe design desirable. SAS Enterprise experience desirable. Experience with Visualization Tools like Qlik or Tableau. Experience in Agile and Waterfall methodology. Big Data experience desirable.. Develop database solutions to store and retrieve company information. Monitor all data integrity performance and adopt appropriate tools. Install and configure information systems to ensure the functionality. Analyze structural requirements for new software and applications. Analyze all data from sources and develop logical models for various business intelligence sources. Migrate data from legacy systems to new solutions. Design conceptual and logical data models and flowcharts. Improve system performance by conducting tests, troubleshooting, and integrating new elements. Optimize new and current database systems. Data Integration, ETL. Define security and backup procedures. Work with the Data Analyst/ Scientist to identify future needs and requirements. Evaluate all hardware and software according to required standards and assist to configure as per standards."
SK Federated President,"SK Federated President role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Sales Representative,"Sales Representative role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Secretary to the Hospital Director,"Secretary to the Hospital Director role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Senior Electronic Security Specialist,"Senior Electronic Security Specialist role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
